Results_Name,VSPAERO_History,,,,
CMy,0.05431,0.06051,0.06035,0.06035,0.06015
CMz,0.00064,0.00001,0,0,0
CS,0.00092,-0.00004,0,0,0
E,0.90847,1.02824,1.02823,1.02863,1.02852
FC_AoA_,1.538462,,,,
FC_Beta_,0,,,,
FC_Bref_,7.5,,,,
FC_Cref_,1.481959,,,,
FC_Mach_,0.001,,,,
FC_Pitch_Rate,0,,,,
FC_ReCref_,50000,,,,
FC_Rho_,0.002377,,,,
FC_Roll__Rate,0,,,,
FC_Sref_,11.114691,,,,
FC_Vinf_,100,,,,
FC_Xcg_,4.521099,,,,
FC_Yaw___Rate,0,,,,
FC_Ycg_,0,,,,
FC_Zcg_,-0.223591,,,,
L/D,2.3173,2.68298,2.70129,2.70322,2.70491
Mach,0.001,0.001,0.001,0.001,0.001
T/QS,0.00075,0.00092,0.00093,0.00094,0.00094
WakeIter,1,2,3,4,5
Results_Name,VSPAERO_History,,,,
Results_Timestamp,1639008966,,,,
Results_Date,12,8,2021,,
Results_Time,18,16,6,,
Alpha,2.05128,2.05128,2.05128,2.05128,2.05128
AnalysisMethod,0,,,,
Beta,0,0,0,0,0
CDi,0.00144,0.00171,0.00172,0.00172,0.00173
CDo,0.04529,0.04532,0.04532,0.04532,0.04532
CDtot,0.04673,0.04703,0.04703,0.04704,0.04705
CDtrefftz,0,0,0,0,0
CFx,-0.00369,-0.00422,-0.00422,-0.00423,-0.00424
CFy,0.00102,0.00004,0.00002,0.00001,0
CFz,0.14328,0.1655,0.16586,0.16639,0.16656
CL,0.14332,0.16554,0.1659,0.16644,0.16661
CMx,0.00532,0.00018,0.00012,0.00003,0
CMy,0.07584,0.08444,0.08469,0.08479,0.08466
CMz,0.00062,0.00014,0.00004,0,0
CS,0.00102,0.00004,0.00002,0.00001,0
E,0.89705,1.0083,1.00935,1.01056,1.0108
FC_AoA_,2.051282,,,,
FC_Beta_,0,,,,
FC_Bref_,7.5,,,,
FC_Cref_,1.481959,,,,
FC_Mach_,0.001,,,,
FC_Pitch_Rate,0,,,,
FC_ReCref_,50000,,,,
FC_Rho_,0.002377,,,,
FC_Roll__Rate,0,,,,
FC_Sref_,11.114691,,,,
FC_Vinf_,100,,,,
FC_Xcg_,4.521099,,,,
FC_Yaw___Rate,0,,,,
FC_Ycg_,0,,,,
FC_Zcg_,-0.223591,,,,
L/D,3.06668,3.52009,3.52725,3.53797,3.54138
Mach,0.001,0.001,0.001,0.001,0.001
T/QS,0.00136,0.00165,0.00166,0.00167,0.00167
WakeIter,1,2,3,4,5
Results_Name,VSPAERO_History,,,,
Results_Timestamp,1639008966,,,,
Results_Date,12,8,2021,,
Results_Time,18,16,6,,
Alpha,2.5641,2.5641,2.5641,2.5641,2.5641
AnalysisMethod,0,,,,
Beta,0,0,0,0,0
CDi,0.00229,0.0027,0.00271,0.00272,0.00272
CDo,0.04535,0.04539,0.04539,0.0454,0.04539
CDtot,0.04764,0.0481,0.04811,0.04812,0.04812
CDtrefftz,0,0,0,0,0
CFx,-0.00581,-0.00657,-0.00658,-0.00659,-0.00659
CFy,0.00101,-0.00001,-0.00001,0,0
