194.216,-239.68
194.484,-239.68
194.753,-239.68
195.022,-193.12
195.29,70.14
195.559,11.04
195.827,64.77
196.096,-8.66
196.364,-6.86
196.633,23.58
196.901,-83.87
197.17,28.95
197.438,-26.56
197.706,21.79
197.975,18.21
198.243,-74.92
198.512,32.53
198.78,14.63
199.048,28.95
199.317,20
199.585,131.03
199.853,95.21
200.122,75.51
200.39,18.21
200.658,27.16
200.926,39.7
201.195,21.79
201.463,-37.31
201.731,27.16
201.999,5.67
202.267,2.09
202.536,97.01
202.804,37.91
203.072,20
203.34,5.67
203.608,18.21
203.876,-33.73
204.144,57.61
204.412,-83.87
204.68,109.54
204.948,-19.4
205.216,-46.26
205.484,-10.45
205.752,18.21
206.02,97.01
206.288,57.61
206.556,-12.24
206.824,20
207.092,23.58
207.36,70.14
207.628,32.53
207.896,7.46
208.164,73.72
208.431,11.04
208.699,-76.71
208.967,9.25
209.235,82.68
209.503,107.75
209.77,-12.24
210.038,71.93
210.306,-49.85
210.573,70.14
210.841,-39.1
211.109,7.46
211.377,-14.03
211.644,79.1
211.912,-65.96
212.179,37.91
212.447,-57.01
212.715,-10.45
212.982,175.8
213.25,131.03
213.517,-17.61
213.785,68.35
214.052,16.42
214.32,77.31
214.587,39.7
214.855,77.31
215.122,-15.82
215.39,75.51
215.657,41.49
215.925,-33.73
216.192,77.31
216.459,-26.56
216.727,-26.56
216.994,20
217.261,-6.86
217.529,73.72
217.796,107.75
218.063,75.51
218.331,34.32
218.598,61.19
218.865,50.44
219.132,32.53
219.399,20
219.667,34.32
219.934,-15.82
220.201,25.37
220.468,20
220.735,-5.07
221.002,120.29
221.27,55.82
221.537,-15.82
221.804,131.03
222.071,18.21
222.338,88.05
222.605,84.47
222.872,-8.66
223.139,32.53
223.406,27.16
223.673,86.26
223.94,52.23
224.207,52.23
224.474,59.4
224.741,88.05
225.007,-67.75
225.274,75.51
225.541,21.79
225.808,-31.94
226.075,46.86
226.342,84.47
226.609,-69.55
226.875,61.19
227.142,91.63
227.409,2.09
227.676,123.87
227.942,125.66
228.209,-19.4
228.476,-5.07
228.742,32.53
229.009,-21.19
229.276,163.27
229.542,-14.03
229.809,7.46
230.076,59.4
230.342,3.88
230.609,-37.31
230.875,114.91
231.142,57.61
231.408,25.37
231.675,-8.66
231.941,62.98
232.208,43.28
232.474,-6.86
232.741,34.32
233.007,-22.98
233.274,55.82
233.54,86.26
233.807,25.37
234.073,20
234.339,27.16
234.606,27.16
234.872,68.35
235.138,37.91
235.405,88.05
235.671,-22.98
235.937,-48.05
236.203,95.21
236.47,14.63
236.736,68.35
237.002,2.09
237.268,39.7
237.535,71.93
237.801,129.24
238.067,23.58
238.333,71.93
238.599,27.16
238.865,-14.03
239.131,21.79
239.397,50.44
239.663,-3.28
239.929,20
240.195,28.95
240.462,147.15
240.728,46.86
240.993,23.58
241.259,123.87
241.525,97.01
241.791,12.83
242.057,34.32
242.323,-35.52
242.589,79.1
242.855,34.32
243.121,2.09
243.387,23.58
243.652,11.04
243.918,28.95
244.184,34.32
244.45,-35.52
244.716,32.53
244.981,27.16
245.247,21.79
245.513,-48.05
245.779,0.3
246.044,20
246.31,105.96
246.576,89.84
246.841,82.68
247.107,7.46
247.373,-22.98
247.638,159.69
247.904,174.01
248.169,30.74
248.435,36.12
248.7,20
248.966,118.5
249.231,-53.43
249.497,-3.28
249.762,75.51
250.028,37.91
250.293,73.72
250.559,16.42
250.824,20
251.09,98.8
251.355,100.59
251.62,14.63
251.886,64.77
