Hydrogen,,,Helium,,,Nitrogen,,,Mystery Tube K,,,Mystery Tube I,,,Mercury Control,,,Mercury Clear Glasses,,,Mercury Sunglasses,,,Incandescant Bulb,,,CFL Bulb,,,Halogen Bulb,
275.704,45.37,,275.704,12.69,,275.704,101.03,,275.704,41.49,,275.704,38.21,,275.704,80.89,,275.704,-23.13,,275.704,43.28,,275.704,227.14,,275.704,12.54,,275.704,252.96
275.968,65.07,,275.968,5.52,,275.968,81.34,,275.968,28.95,,275.968,22.09,,275.968,93.42,,275.968,39.55,,275.968,91.63,,275.968,307.73,,275.968,12.54,,275.968,204.61
276.232,25.67,,276.232,46.71,,276.232,-52.98,,276.232,-17.61,,276.232,13.13,,276.232,73.72,,276.232,-23.13,,276.232,-40.89,,276.232,302.36,,276.232,32.24,,276.232,215.35
276.496,-53.13,,276.496,-44.62,,276.496,75.96,,276.496,-62.38,,276.496,-6.57,,276.496,-3.28,,276.496,-64.32,,276.496,-6.86,,276.496,212.81,,276.496,-89.54,,276.496,201.02
276.76,13.13,,276.76,-1.64,,276.76,34.77,,276.76,-96.41,,276.76,18.51,,276.76,-69.55,,276.76,-26.71,,276.76,-24.77,,276.76,264.75,,276.76,-8.95,,276.76,235.05
277.024,47.16,,277.024,109.39,,277.024,95.66,,277.024,71.93,,277.024,70.44,,277.024,84.47,,277.024,34.18,,277.024,36.12,,277.024,280.87,,277.024,89.54,,277.024,294.15
277.288,45.37,,277.288,19.85,,277.288,45.52,,277.288,-49.85,,277.288,-10.15,,277.288,32.53,,277.288,-7.01,,277.288,-19.4,,277.288,225.35,,277.288,-10.75,,277.288,188.49
277.552,-13.73,,277.552,-3.43,,277.552,-10,,277.552,-22.98,,277.552,11.34,,277.552,-30.15,,277.552,-30.3,,277.552,3.88,,277.552,271.91,,277.552,12.54,,277.552,233.26
277.816,-2.98,,277.816,12.69,,277.816,75.96,,277.816,-37.31,,277.816,-45.97,,277.816,88.05,,277.816,-15.97,,277.816,25.37,,277.816,273.7,,277.816,1.79,,277.816,233.26
278.079,31.04,,278.079,95.07,,278.079,93.87,,278.079,66.56,,278.079,56.11,,278.079,30.74,,278.079,82.53,,278.079,113.12,,278.079,379.37,,278.079,71.63,,278.079,328.18
278.343,125.96,,278.343,25.22,,278.343,20.45,,278.343,79.1,,278.343,40,,278.343,18.21,,278.343,69.99,,278.343,18.21,,278.343,296.99,,278.343,73.43,,278.343,265.5
278.607,79.4,,278.607,55.67,,278.607,117.15,,278.607,71.93,,278.607,88.35,,278.607,-12.24,,278.607,16.27,,278.607,93.42,,278.607,313.1,,278.607,55.52,,278.607,240.42
278.871,9.55,,278.871,7.31,,278.871,140.43,,278.871,14.63,,278.871,124.17,,278.871,-21.19,,278.871,87.9,,278.871,52.23,,278.871,200.28,,278.871,103.87,,278.871,292.36
279.135,18.51,,279.135,34.18,,279.135,90.29,,279.135,61.19,,279.135,59.7,,279.135,113.12,,279.135,95.07,,279.135,88.05,,279.135,307.73,,279.135,30.44,,279.135,281.61
279.398,-20.89,,279.398,25.22,,279.398,6.12,,279.398,-33.73,,279.398,65.07,,279.398,55.82,,279.398,-14.18,,279.398,70.14,,279.398,264.75,,279.398,60.89,,279.398,188.49
279.662,4.18,,279.662,7.31,,279.662,108.2,,279.662,50.44,,279.662,70.44,,279.662,91.63,,279.662,62.83,,279.662,59.4,,279.662,323.85,,279.662,73.43,,279.662,236.84
279.926,-40.59,,279.926,-26.71,,279.926,-36.86,,279.926,14.63,,279.926,23.88,,279.926,-15.82,,279.926,-46.41,,279.926,-3.28,,279.926,162.67,,279.926,-96.71,,279.926,163.42
280.189,97.3,,280.189,77.16,,280.189,179.83,,280.189,36.12,,280.189,63.28,,280.189,118.5,,280.189,86.11,,280.189,28.95,,280.189,350.71,,280.189,62.68,,280.189,217.14
280.453,22.09,,280.453,59.25,,280.453,50.89,,280.453,30.74,,280.453,-26.27,,280.453,129.24,,280.453,-7.01,,280.453,21.79,,280.453,254,,280.453,-12.54,,280.453,229.68
280.717,2.39,,280.717,64.62,,280.717,68.8,,280.717,62.98,,280.717,18.51,,280.717,100.59,,280.717,23.43,,280.717,23.58,,280.717,347.13,,280.717,-1.79,,280.717,286.99
280.98,57.9,,280.98,23.43,,280.98,117.15,,280.98,64.77,,280.98,32.83,,280.98,39.7,,280.98,-8.81,,280.98,139.99,,280.98,203.86,,280.98,51.94,,280.98,279.82
281.244,-13.73,,281.244,82.53,,281.244,43.73,,281.244,71.93,,281.244,70.44,,281.244,25.37,,281.244,21.64,,281.244,95.21,,281.244,241.47,,281.244,-23.28,,281.244,252.96
281.508,97.3,,281.508,134.46,,281.508,142.22,,281.508,64.77,,281.508,43.58,,281.508,113.12,,281.508,109.39,,281.508,-14.03,,281.508,311.31,,281.508,28.65,,281.508,369.37
281.771,34.62,,281.771,3.73,,281.771,41.94,,281.771,102.38,,281.771,63.28,,281.771,64.77,,281.771,16.27,,281.771,7.46,,281.771,252.21,,281.771,48.35,,281.771,158.04
282.035,79.4,,282.035,48.5,,282.035,118.94,,282.035,139.99,,282.035,99.09,,282.035,43.28,,282.035,-24.92,,282.035,3.88,,282.035,227.14,,282.035,21.49,,282.035,301.31
282.298,38.21,,282.298,147,,282.298,127.9,,282.298,147.15,,282.298,95.51,,282.298,113.12,,282.298,95.07,,282.298,127.45,,282.298,348.92,,282.298,23.28,,282.298,290.57
282.562,45.37,,282.562,125.51,,282.562,41.94,,282.562,82.68,,282.562,82.98,,282.562,73.72,,282.562,1.94,,282.562,46.86,,282.562,320.27,,282.562,57.31,,282.562,233.26
282.826,-10.15,,282.826,30.59,,282.826,118.94,,282.826,82.68,,282.826,72.23,,282.826,89.84,,282.826,-3.43,,282.826,18.21,,282.826,277.29,,282.826,14.33,,282.826,270.87
283.089,-69.25,,283.089,-32.09,,283.089,-17.16,,283.089,9.25,,283.089,40,,283.089,21.79,,283.089,75.37,,283.089,25.37,,283.089,211.02,,283.089,0,,283.089,347.88
283.353,45.37,,283.353,77.16,,283.353,79.54,,283.353,102.38,,283.353,129.54,,283.353,68.35,,283.353,50.29,,283.353,5.67,,283.353,320.27,,283.353,-7.16,,283.353,211.77
283.616,61.49,,283.616,-35.67,,283.616,11.49,,283.616,120.29,,283.616,2.39,,283.616,25.37,,283.616,3.73,,283.616,9.25,,283.616,234.31,,283.616,-30.44,,283.616,217.14
283.88,11.34,,283.88,121.93,,283.88,108.2,,283.88,23.58,,283.88,2.39,,283.88,84.47,,283.88,100.44,,283.88,66.56,,283.88,316.69,,283.88,53.73,,283.88,224.31
284.143,14.92,,284.143,32.38,,284.143,7.91,,284.143,62.98,,284.143,65.07,,284.143,9.25,,284.143,89.69,,284.143,12.83,,284.143,295.19,,284.143,-10.75,,284.143,303.1
284.407,-56.71,,284.407,46.71,,284.407,61.64,,284.407,70.14,,284.407,-1.19,,284.407,-6.86,,284.407,-28.5,,284.407,-48.05,,284.407,252.21,,284.407,32.24,,284.407,256.54
284.67,32.83,,284.67,-23.13,,284.67,84.92,,284.67,16.42,,284.67,61.49,,284.67,66.56,,284.67,37.76,,284.67,-19.4,,284.67,298.78,,284.67,-32.24,,284.67,184.91
284.933,104.47,,284.933,141.63,,284.933,179.83,,284.933,75.51,,284.933,106.26,,284.933,195.5,,284.933,93.27,,284.933,150.73,,284.933,381.16,,284.933,57.31,,284.933,362.2
285.197,-45.97,,285.197,34.18,,285.197,27.61,,285.197,-55.22,,285.197,31.04,,285.197,-3.28,,285.197,-1.64,,285.197,-35.52,,285.197,207.44,,285.197,-105.66,,285.197,208.19
285.46,-26.27,,285.46,53.88,,285.46,142.22,,285.46,57.61,,285.46,61.49,,285.46,-1.49,,285.46,14.48,,285.46,48.65,,285.46,254,,285.46,-8.95,,285.46,251.17
285.724,66.86,,285.724,0.15,,285.724,15.07,,285.724,97.01,,285.724,93.72,,285.724,-6.86,,285.724,-33.88,,285.724,79.1,,285.724,286.24,,285.724,5.37,,285.724,245.8
285.987,129.54,,285.987,141.63,,285.987,133.27,,285.987,9.25,,285.987,63.28,,285.987,37.91,,285.987,32.38,,285.987,50.44,,285.987,341.76,,285.987,37.61,,285.987,220.72
286.25,72.23,,286.25,5.52,,286.25,138.64,,286.25,45.07,,286.25,47.16,,286.25,12.83,,286.25,1.94,,286.25,-10.45,,286.25,264.75,,286.25,143.27,,286.25,313.85
286.514,104.47,,286.514,91.48,,286.514,43.73,,286.514,48.65,,286.514,142.08,,286.514,77.31,,286.514,80.74,,286.514,107.75,,286.514,268.33,,286.514,51.94,,286.514,337.13
286.777,-28.06,,286.777,7.31,,286.777,79.54,,286.777,43.28,,286.777,52.53,,286.777,93.42,,286.777,37.76,,286.777,66.56,,286.777,202.07,,286.777,3.58,,286.777,218.93
287.04,32.83,,287.04,23.43,,287.04,59.84,,287.04,59.4,,287.04,47.16,,287.04,32.53,,287.04,-39.25,,287.04,39.7,,287.04,196.7,,287.04,25.07,,287.04,247.59
287.303,23.88,,287.303,224.01,,287.303,108.2,,287.303,242.07,,287.303,90.14,,287.303,184.76,,287.303,211.47,,287.303,168.64,,287.303,370.41,,287.303,162.97,,287.303,410.56
287.567,-40.59,,287.567,30.59,,287.567,56.26,,287.567,30.74,,287.567,16.71,,287.567,39.7,,287.567,-14.18,,287.567,16.42,,287.567,250.42,,287.567,39.4,,287.567,270.87
287.83,68.65,,287.83,27.01,,287.83,156.55,,287.83,32.53,,287.83,50.74,,287.83,11.04,,287.83,43.13,,287.83,86.26,,287.83,341.76,,287.83,5.37,,287.83,254.75
288.093,59.7,,288.093,120.14,,288.093,124.32,,288.093,211.62,,288.093,95.51,,288.093,79.1,,288.093,68.2,,288.093,64.77,,288.093,347.13,,288.093,16.12,,288.093,299.52
288.356,-56.71,,288.356,-32.09,,288.356,2.54,,288.356,34.32,,288.356,-69.25,,288.356,30.74,,288.356,-60.74,,288.356,9.25,,288.356,280.87,,288.356,-73.43,,288.356,167
288.62,29.25,,288.62,28.8,,288.62,38.35,,288.62,86.26,,288.62,48.95,,288.62,89.84,,288.62,3.73,,288.62,70.14,,288.62,234.31,,288.62,7.16,,288.62,229.68
288.883,11.34,,288.883,39.55,,288.883,108.2,,288.883,55.82,,288.883,41.79,,288.883,62.98,,288.883,23.43,,288.883,61.19,,288.883,225.35,,288.883,16.12,,288.883,227.89
289.146,82.98,,289.146,12.69,,289.146,147.6,,289.146,177.59,,289.146,68.65,,289.146,98.8,,289.146,19.85,,289.146,61.19,,289.146,205.65,,289.146,71.63,,289.146,299.52
289.409,18.51,,289.409,48.5,,289.409,102.83,,289.409,95.21,,289.409,-40.59,,289.409,21.79,,289.409,-75.07,,289.409,-35.52,,289.409,284.45,,289.409,-23.28,,289.409,124.02
289.672,23.88,,289.672,-50,,289.672,6.12,,289.672,43.28,,289.672,27.46,,289.672,27.16,,289.672,-50,,289.672,-35.52,,289.672,286.24,,289.672,-10.75,,289.672,201.02
289.935,56.11,,289.935,69.99,,289.935,138.64,,289.935,89.84,,289.935,22.09,,289.935,77.31,,289.935,-28.5,,289.935,-1.49,,289.935,230.72,,289.935,3.58,,289.935,215.35
290.198,7.76,,290.198,64.62,,290.198,95.66,,290.198,50.44,,290.198,61.49,,290.198,97.01,,290.198,57.46,,290.198,-8.66,,290.198,245.05,,290.198,59.1,,290.198,188.49
290.461,97.3,,290.461,52.08,,290.461,47.31,,290.461,64.77,,290.461,84.77,,290.461,82.68,,290.461,55.67,,290.461,91.63,,290.461,295.19,,290.461,28.65,,290.461,245.8
290.725,-13.73,,290.725,69.99,,290.725,81.34,,290.725,37.91,,290.725,27.46,,290.725,64.77,,290.725,-14.18,,290.725,71.93,,290.725,298.78,,290.725,32.24,,290.725,272.66
290.988,-35.22,,290.988,5.52,,290.988,-35.07,,290.988,54.02,,290.988,-17.31,,290.988,61.19,,290.988,-33.88,,290.988,-60.59,,290.988,175.21,,290.988,-66.26,,290.988,193.86
291.251,23.88,,291.251,27.01,,291.251,81.34,,291.251,95.21,,291.251,36.41,,291.251,-3.28,,291.251,69.99,,291.251,-48.05,,291.251,246.84,,291.251,-55.52,,291.251,244.01
291.514,-62.08,,291.514,-62.53,,291.514,-26.12,,291.514,-21.19,,291.514,-72.83,,291.514,9.25,,291.514,-94.77,,291.514,-94.62,,291.514,182.37,,291.514,-80.59,,291.514,215.35
291.777,65.07,,291.777,89.69,,291.777,144.02,,291.777,122.08,,291.777,61.49,,291.777,55.82,,291.777,41.34,,291.777,70.14,,291.777,228.93,,291.777,100.29,,291.777,208.19
292.04,48.95,,292.04,19.85,,292.04,163.72,,292.04,202.67,,292.04,50.74,,292.04,21.79,,292.04,5.52,,292.04,18.21,,292.04,323.85,,292.04,34.03,,292.04,208.19
292.303,81.19,,292.303,-33.88,,292.303,88.5,,292.303,145.36,,292.303,-1.19,,292.303,41.49,,292.303,82.53,,292.303,-1.49,,292.303,288.03,,292.303,46.56,,292.303,283.4
292.566,75.81,,292.566,-19.55,,292.566,84.92,,292.566,145.36,,292.566,-38.8,,292.566,52.23,,292.566,59.25,,292.566,-31.94,,292.566,259.38,,292.566,12.54,,292.566,261.91
292.829,143.87,,292.829,64.62,,292.829,195.95,,292.829,272.51,,292.829,57.9,,292.829,59.4,,292.829,44.92,,292.829,70.14,,292.829,345.34,,292.829,118.2,,292.829,290.57
293.091,159.98,,293.091,114.76,,293.091,260.42,,293.091,315.49,,293.091,145.66,,293.091,129.24,,293.091,95.07,,293.091,45.07,,293.091,347.13,,293.091,82.38,,293.091,362.2
293.354,84.77,,293.354,105.81,,293.354,305.19,,293.354,424.73,,293.354,122.38,,293.354,168.64,,293.354,91.48,,293.354,41.49,,293.354,318.48,,293.354,50.14,,293.354,269.08
293.617,47.16,,293.617,43.13,,293.617,421.6,,293.617,478.46,,293.617,40,,293.617,43.28,,293.617,64.62,,293.617,109.54,,293.617,268.33,,293.617,37.61,,293.617,249.38
293.88,-2.98,,293.88,-42.83,,293.88,495.03,,293.88,517.86,,293.88,70.44,,293.88,12.83,,293.88,-39.25,,293.88,59.4,,293.88,246.84,,293.88,10.75,,293.88,260.12
294.143,-29.85,,294.143,-12.39,,294.143,636.5,,294.143,784.7,,294.143,-49.55,,294.143,41.49,,294.143,-64.32,,294.143,-73.13,,294.143,232.51,,294.143,-48.35,,294.143,202.82
294.406,100.89,,294.406,-33.88,,294.406,815.59,,294.406,1178.69,,294.406,-15.52,,294.406,21.79,,294.406,0.15,,294.406,-28.36,,294.406,298.78,,294.406,84.17,,294.406,281.61
294.669,45.37,,294.669,55.67,,294.669,1017.96,,294.669,1377.48,,294.669,90.14,,294.669,34.32,,294.669,-33.88,,294.669,-12.24,,294.669,177,,294.669,0,,294.669,285.2
294.932,-35.22,,294.932,-15.97,,294.932,1107.5,,294.932,1662.22,,294.932,99.09,,294.932,104.17,,294.932,55.67,,294.932,14.63,,294.932,295.19,,294.932,-51.94,,294.932,281.61
295.194,29.25,,295.194,59.25,,295.194,1313.45,,295.194,2158.29,,295.194,97.3,,295.194,97.01,,295.194,-3.43,,295.194,36.12,,295.194,248.63,,295.194,48.35,,295.194,211.77
295.457,23.88,,295.457,86.11,,295.457,1164.81,,295.457,2648.99,,295.457,0.6,,295.457,265.35,,295.457,12.69,,295.457,16.42,,295.457,280.87,,295.457,5.37,,295.457,279.82
295.72,70.44,,295.72,-3.43,,295.72,992.89,,295.72,3254.3,,295.72,40,,295.72,365.64,,295.72,-12.39,,295.72,3.88,,295.72,237.89,,295.72,-25.07,,295.72,265.5
295.983,122.38,,295.983,52.08,,295.983,1105.71,,295.983,3934.83,,295.983,142.08,,295.983,491,,295.983,107.6,,295.983,136.4,,295.983,331.01,,295.983,68.05,,295.983,335.34
296.245,9.55,,296.245,19.85,,296.245,946.32,,296.245,4520.45,,296.245,-42.38,,296.245,482.04,,296.245,-33.88,,296.245,14.63,,296.245,218.19,,296.245,25.07,,296.245,233.26
296.508,38.21,,296.508,25.22,,296.508,969.61,,296.508,4704.91,,296.508,70.44,,296.508,464.13,,296.508,3.73,,296.508,-49.85,,296.508,237.89,,296.508,-7.16,,296.508,227.89
296.771,18.51,,296.771,37.76,,296.771,1010.8,,296.771,4789.08,,296.771,65.07,,296.771,365.64,,296.771,91.48,,296.771,54.02,,296.771,322.06,,296.771,39.4,,296.771,261.91
297.034,109.84,,297.034,57.46,,297.034,1078.85,,297.034,4178.39,,297.034,99.09,,297.034,286.84,,297.034,96.86,,297.034,59.4,,297.034,357.87,,297.034,-5.37,,297.034,319.22
297.296,13.13,,297.296,-28.5,,297.296,769.03,,297.296,3225.65,,297.296,7.76,,297.296,216.99,,297.296,30.59,,297.296,-6.86,,297.296,218.19,,297.296,44.77,,297.296,206.4
297.559,82.98,,297.559,-1.64,,297.559,654.41,,297.559,2417.97,,297.559,108.05,,297.559,238.48,,297.559,35.97,,297.559,18.21,,297.559,302.36,,297.559,12.54,,297.559,321.01
297.822,29.25,,297.822,3.73,,297.822,450.25,,297.822,1869.96,,297.822,29.25,,297.822,218.78,,297.822,-32.09,,297.822,107.75,,297.822,221.77,,297.822,17.91,,297.822,249.38
298.084,75.81,,298.084,-10.6,,298.084,346.38,,298.084,1234.21,,298.084,65.07,,298.084,175.8,,298.084,41.34,,298.084,98.8,,298.084,300.57,,298.084,80.59,,298.084,317.43
298.347,0.6,,298.347,-19.55,,298.347,255.05,,298.347,904.69,,298.347,7.76,,298.347,89.84,,298.347,-71.49,,298.347,11.04,,298.347,203.86,,298.347,-87.75,,298.347,267.29
298.609,117,,298.609,9.1,,298.609,213.86,,298.609,732.76,,298.609,72.23,,298.609,174.01,,298.609,78.95,,298.609,-3.28,,298.609,356.08,,298.609,8.95,,298.609,274.45
298.872,18.51,,298.872,5.52,,298.872,188.79,,298.872,510.7,,298.872,82.98,,298.872,27.16,,298.872,23.43,,298.872,9.25,,298.872,243.26,,298.872,-28.65,,298.872,220.72
299.135,-29.85,,299.135,-14.18,,299.135,172.67,,299.135,322.65,,299.135,25.67,,299.135,12.83,,299.135,-14.18,,299.135,-31.94,,299.135,307.73,,299.135,55.52,,299.135,270.87
299.397,0.6,,299.397,-3.43,,299.397,120.73,,299.397,299.37,,299.397,-2.98,,299.397,23.58,,299.397,-15.97,,299.397,-12.24,,299.397,243.26,,299.397,-16.12,,299.397,283.4
299.66,-33.43,,299.66,-46.41,,299.66,93.87,,299.66,231.32,,299.66,-24.48,,299.66,98.8,,299.66,-48.2,,299.66,-101.78,,299.66,155.51,,299.66,14.33,,299.66,193.86
299.922,68.65,,299.922,21.64,,299.922,115.36,,299.922,363.84,,299.922,0.6,,299.922,23.58,,299.922,66.41,,299.922,27.16,,299.922,270.12,,299.922,1.79,,299.922,358.62
300.185,43.58,,300.185,-1.64,,300.185,138.64,,300.185,224.16,,300.185,52.53,,300.185,57.61,,300.185,-24.92,,300.185,39.7,,300.185,254,,300.185,10.75,,300.185,252.96
300.447,16.71,,300.447,1.94,,300.447,102.83,,300.447,229.53,,300.447,2.39,,300.447,143.57,,300.447,-41.04,,300.447,-30.15,,300.447,225.35,,300.447,-68.05,,300.447,260.12
300.71,181.47,,300.71,71.78,,300.71,244.3,,300.71,304.75,,300.71,84.77,,300.71,281.46,,300.71,59.25,,300.71,136.4,,300.71,372.2,,300.71,75.22,,300.71,328.18
300.972,75.81,,300.972,-17.76,,300.972,192.37,,300.972,249.23,,300.972,117,,300.972,268.93,,300.972,35.97,,300.972,27.16,,300.972,291.61,,300.972,28.65,,300.972,351.46
301.235,-2.98,,301.235,-5.22,,301.235,192.37,,301.235,204.46,,301.235,-10.15,,301.235,471.3,,301.235,-35.67,,301.235,12.83,,301.235,259.38,,301.235,34.03,,301.235,236.84
301.497,-4.78,,301.497,-15.97,,301.497,117.15,,301.497,274.3,,301.497,-33.43,,301.497,455.18,,301.497,-64.32,,301.497,-91.04,,301.497,227.14,,301.497,30.44,,301.497,233.26
301.759,-10.15,,301.759,53.88,,301.759,152.97,,301.759,179.39,,301.759,9.55,,301.759,587.7,,301.759,50.29,,301.759,-65.96,,301.759,259.38,,301.759,-5.37,,301.759,297.73
302.022,147.45,,302.022,44.92,,302.022,271.17,,302.022,328.03,,302.022,108.05,,302.022,503.53,,302.022,64.62,,302.022,111.33,,302.022,372.2,,302.022,73.43,,302.022,360.41
302.284,50.74,,302.284,-32.09,,302.284,197.74,,302.284,290.42,,302.284,38.21,,302.284,385.33,,302.284,30.59,,302.284,45.07,,302.284,212.81,,302.284,-32.24,,302.284,279.82
302.546,151.03,,302.546,104.02,,302.546,215.65,,302.546,392.5,,302.546,177.89,,302.546,369.22,,302.546,95.07,,302.546,37.91,,302.546,447.42,,302.546,85.96,,302.546,340.71
302.809,47.16,,302.809,59.25,,302.809,135.06,,302.809,338.77,,302.809,27.46,,302.809,295.79,,302.809,9.1,,302.809,25.37,,302.809,295.19,,302.809,-59.1,,302.809,270.87
303.071,79.4,,303.071,43.13,,303.071,174.46,,303.071,369.22,,303.071,77.6,,303.071,326.24,,303.071,-55.37,,303.071,77.31,,303.071,279.08,,303.071,23.28,,303.071,285.2
303.333,82.98,,303.333,-14.18,,303.333,136.85,,303.333,344.15,,303.333,100.89,,303.333,259.97,,303.333,-41.04,,303.333,-22.98,,303.333,268.33,,303.333,73.43,,303.333,247.59
303.596,113.42,,303.596,7.31,,303.596,237.14,,303.596,482.04,,303.596,13.13,,303.596,233.11,,303.596,3.73,,303.596,18.21,,303.596,227.14,,303.596,-30.44,,303.596,340.71
303.858,99.09,,303.858,71.78,,303.858,238.93,,303.858,487.41,,303.858,100.89,,303.858,206.25,,303.858,21.64,,303.858,-6.86,,303.858,309.52,,303.858,100.29,,303.858,353.25
304.12,0.6,,304.12,7.31,,304.12,212.07,,304.12,492.79,,304.12,22.09,,304.12,141.78,,304.12,53.88,,304.12,20,,304.12,264.75,,304.12,-42.98,,304.12,303.1
304.383,77.6,,304.383,23.43,,304.383,224.6,,304.383,525.02,,304.383,7.76,,304.383,163.27,,304.383,28.8,,304.383,16.42,,304.383,264.75,,304.383,-87.75,,304.383,353.25
304.645,25.67,,304.645,-23.13,,304.645,160.13,,304.645,616.36,,304.645,47.16,,304.645,-40.89,,304.645,-14.18,,304.645,-12.24,,304.645,234.31,,304.645,-98.5,,304.645,274.45
304.907,74.02,,304.907,77.16,,304.907,249.68,,304.907,775.74,,304.907,125.96,,304.907,131.03,,304.907,104.02,,304.907,41.49,,304.907,331.01,,304.907,121.78,,304.907,310.27
305.169,177.89,,305.169,16.27,,305.169,174.46,,305.169,720.23,,305.169,68.65,,305.169,86.26,,305.169,9.1,,305.169,7.46,,305.169,279.08,,305.169,3.58,,305.169,294.15
305.431,202.96,,305.431,77.16,,305.431,330.27,,305.431,874.24,,305.431,179.68,,305.431,186.55,,305.431,96.86,,305.431,109.54,,305.431,386.53,,305.431,57.31,,305.431,415.93
305.694,127.75,,305.694,61.04,,305.694,231.77,,305.694,1001.39,,305.694,90.14,,305.694,218.78,,305.694,34.18,,305.694,54.02,,305.694,322.06,,305.694,-3.58,,305.694,286.99
305.956,197.59,,305.956,-23.13,,305.956,335.64,,305.956,1214.51,,305.956,199.38,,305.956,274.3,,305.956,27.01,,305.956,71.93,,305.956,187.74,,305.956,-26.86,,305.956,408.77
306.218,226.25,,306.218,-26.71,,306.218,351.76,,306.218,1563.73,,306.218,77.6,,306.218,191.92,,306.218,61.04,,306.218,5.67,,306.218,218.19,,306.218,-53.73,,306.218,290.57
306.48,195.8,,306.48,68.2,,306.48,360.71,,306.48,2007.86,,306.48,120.59,,306.48,308.33,,306.48,75.37,,306.48,-21.19,,306.48,343.55,,306.48,55.52,,306.48,344.29
306.742,222.66,,306.742,-30.3,,306.742,299.82,,306.742,2246.05,,306.742,143.87,,306.742,283.26,,306.742,14.48,,306.742,-24.77,,306.742,211.02,,306.742,17.91,,306.742,254.75
307.004,152.82,,307.004,32.38,,307.004,421.6,,307.004,2432.3,,307.004,120.59,,307.004,349.52,,307.004,5.52,,307.004,-1.49,,307.004,307.73,,307.004,-5.37,,307.004,283.4
307.266,326.53,,307.266,138.05,,307.266,580.99,,307.266,2570.19,,307.266,168.94,,307.266,499.95,,307.266,41.34,,307.266,11.04,,307.266,329.22,,307.266,62.68,,307.266,362.2
307.528,362.35,,307.528,132.67,,307.528,650.83,,307.528,2398.27,,307.528,279.97,,307.528,605.61,,307.528,139.84,,307.528,77.31,,307.528,352.5,,307.528,94.92,,307.528,482.19
307.79,333.7,,307.79,75.37,,307.79,697.39,,307.79,2186.95,,307.79,290.72,,307.79,584.12,,307.79,111.18,,307.79,25.37,,307.79,354.29,,307.79,3.58,,307.79,340.71
308.052,328.33,,308.052,84.32,,308.052,899.76,,308.052,1889.66,,308.052,330.12,,308.052,725.6,,308.052,48.5,,308.052,105.96,,308.052,341.76,,308.052,55.52,,308.052,367.58
308.314,330.12,,308.314,-3.43,,308.314,1146.9,,308.314,1982.79,,308.314,197.59,,308.314,670.08,,308.314,-30.3,,308.314,16.42,,308.314,250.42,,308.314,-48.35,,308.314,299.52
308.576,333.7,,308.576,25.22,,308.576,1499.7,,308.576,2045.47,,308.576,356.98,,308.576,752.46,,308.576,12.69,,308.576,27.16,,308.576,304.15,,308.576,10.75,,308.576,424.88
308.838,283.55,,308.838,-57.16,,308.838,1723.56,,308.838,2378.57,,308.838,276.39,,308.838,739.93,,308.838,46.71,,308.838,16.42,,308.838,293.4,,308.838,-37.61,,308.838,286.99
309.1,401.75,,309.1,-50,,309.1,2423.79,,309.1,2792.26,,309.1,314,,309.1,757.84,,309.1,3.73,,309.1,95.21,,309.1,313.1,,309.1,-26.86,,309.1,335.34
309.362,299.67,,309.362,-51.79,,309.362,2912.7,,309.362,3302.66,,309.362,215.5,,309.362,593.08,,309.362,-55.37,,309.362,-51.64,,309.362,295.19,,309.362,-28.65,,309.362,276.24
309.624,346.23,,309.624,75.37,,309.624,3562.78,,309.624,3965.28,,309.624,299.67,,309.624,625.31,,309.624,27.01,,309.624,28.95,,309.624,304.15,,309.624,23.28,,309.624,367.58
309.886,373.1,,309.886,-10.6,,309.886,4182.42,,309.886,4841.01,,309.886,279.97,,309.886,713.06,,309.886,30.59,,309.886,20,,309.886,331.01,,309.886,-5.37,,309.886,408.77
310.148,290.72,,310.148,5.52,,310.148,4879.07,,310.148,5867.18,,310.148,185.06,,310.148,653.97,,310.148,28.8,,310.148,50.44,,310.148,214.61,,310.148,0,,310.148,415.93
310.41,342.65,,310.41,44.92,,310.41,5840.76,,310.41,7249.73,,310.41,305.04,,310.41,662.92,,310.41,39.55,,310.41,-3.28,,310.41,381.16,,310.41,80.59,,310.41,428.47
310.672,256.69,,310.672,-5.22,,310.672,6519.5,,310.672,8958.22,,310.672,168.94,,310.672,863.5,,310.672,53.88,,310.672,55.82,,310.672,382.95,,310.672,21.49,,310.672,392.65
310.934,348.03,,310.934,53.88,,310.934,6800.67,,310.934,10772.37,,310.934,190.43,,310.934,1416.87,,310.934,69.99,,310.934,104.17,,310.934,391.9,,310.934,87.75,,310.934,383.69
311.196,403.54,,311.196,-10.6,,311.196,6992.29,,311.196,14047.86,,311.196,262.06,,311.196,2444.83,,311.196,-64.32,,311.196,41.49,,311.196,336.38,,311.196,59.1,,311.196,398.02
311.457,315.79,,311.457,34.18,,311.457,6947.52,,311.457,16673.27,,311.457,179.68,,311.457,4303.75,,311.457,84.32,,311.457,75.51,,311.457,347.13,,311.457,197,,311.457,441
311.719,199.38,,311.719,43.13,,311.719,7778.48,,311.719,20494.98,,311.719,117,,311.719,6907.67,,311.719,-28.5,,311.719,-51.64,,311.719,282.66,,311.719,227.44,,311.719,321.01
311.981,417.87,,311.981,-21.34,,311.981,8706.15,,311.981,23003.99,,311.981,213.71,,311.981,9110.44,,311.981,3.73,,311.981,88.05,,311.981,331.01,,311.981,268.63,,311.981,424.88
