Hydrogen,,,Helium,,,Nitrogen,,,Mystery Tube K,,,Mystery Tube I,,,Mercury Control,,,Mercury Clear Glasses,,,Mercury Sunglasses,,,Incandescant Bulb,,,CFL Bulb,,,Halogen Bulb,
202.267,65.07,,202.267,62.83,,202.267,93.87,,202.267,18.21,,202.267,117,,202.267,100.59,,202.267,-41.04,,202.267,2.09,,202.267,332.8,,202.267,-17.91,,202.267,326.39
202.536,115.21,,202.536,96.86,,202.536,118.94,,202.536,102.38,,202.536,104.47,,202.536,77.31,,202.536,16.27,,202.536,97.01,,202.536,359.67,,202.536,51.94,,202.536,351.46
202.804,84.77,,202.804,73.57,,202.804,115.36,,202.804,95.21,,202.804,50.74,,202.804,105.96,,202.804,-44.62,,202.804,37.91,,202.804,343.55,,202.804,128.94,,202.804,362.2
203.072,70.44,,203.072,50.29,,203.072,61.64,,203.072,41.49,,203.072,41.79,,203.072,79.1,,203.072,28.8,,203.072,20,,203.072,332.8,,203.072,42.98,,203.072,380.11
203.34,56.11,,203.34,77.16,,203.34,133.27,,203.34,98.8,,203.34,32.83,,203.34,111.33,,203.34,5.52,,203.34,5.67,,203.34,325.64,,203.34,136.11,,203.34,265.5
203.608,-33.43,,203.608,27.01,,203.608,95.66,,203.608,-26.56,,203.608,52.53,,203.608,36.12,,203.608,3.73,,203.608,18.21,,203.608,270.12,,203.608,26.86,,203.608,317.43
203.876,38.21,,203.876,-89.39,,203.876,18.65,,203.876,-30.15,,203.876,-29.85,,203.876,-3.28,,203.876,-7.01,,203.876,-33.73,,203.876,318.48,,203.876,-48.35,,203.876,286.99
204.144,5.97,,204.144,18.06,,204.144,74.17,,204.144,95.21,,204.144,147.45,,204.144,79.1,,204.144,105.81,,204.144,57.61,,204.144,329.22,,204.144,14.33,,204.144,292.36
204.412,-29.85,,204.412,-5.22,,204.412,43.73,,204.412,25.37,,204.412,-24.48,,204.412,-24.77,,204.412,-12.39,,204.412,-83.87,,204.412,234.31,,204.412,-100.29,,204.412,229.68
204.68,20.3,,204.68,-26.71,,204.68,-17.16,,204.68,36.12,,204.68,109.84,,204.68,16.42,,204.68,95.07,,204.68,109.54,,204.68,370.41,,204.68,82.38,,204.68,251.17
204.948,54.32,,204.948,77.16,,204.948,-44.03,,204.948,-30.15,,204.948,2.39,,204.948,46.86,,204.948,-39.25,,204.948,-19.4,,204.948,295.19,,204.948,-7.16,,204.948,201.02
205.216,-28.06,,205.216,-46.41,,205.216,65.22,,205.216,36.12,,205.216,43.58,,205.216,-12.24,,205.216,52.08,,205.216,-46.26,,205.216,377.57,,205.216,48.35,,205.216,362.2
205.484,9.55,,205.484,-24.92,,205.484,34.77,,205.484,45.07,,205.484,41.79,,205.484,89.84,,205.484,-8.81,,205.484,-10.45,,205.484,257.59,,205.484,-14.33,,205.484,263.71
205.752,-15.52,,205.752,68.2,,205.752,92.08,,205.752,91.63,,205.752,9.55,,205.752,55.82,,205.752,57.46,,205.752,18.21,,205.752,345.34,,205.752,-46.56,,205.752,279.82
206.02,48.95,,206.02,-7.01,,206.02,32.98,,206.02,3.88,,206.02,45.37,,206.02,-15.82,,206.02,28.8,,206.02,97.01,,206.02,266.54,,206.02,8.95,,206.02,304.9
206.288,40,,206.288,73.57,,206.288,68.8,,206.288,-92.83,,206.288,13.13,,206.288,59.4,,206.288,-7.01,,206.288,57.61,,206.288,386.53,,206.288,7.16,,206.288,279.82
206.556,-58.5,,206.556,-10.6,,206.556,-51.19,,206.556,-71.34,,206.556,4.18,,206.556,-58.8,,206.556,-60.74,,206.556,-12.24,,206.556,305.94,,206.556,39.4,,206.556,195.65
206.824,100.89,,206.824,107.6,,206.824,58.05,,206.824,77.31,,206.824,86.56,,206.824,55.82,,206.824,102.23,,206.824,20,,206.824,314.89,,206.824,82.38,,206.824,331.76
